gpu_model_name,vram,memory_type,bus_interface,passmark_g3d_score,price
GeForce GTX 1650,4 GB,GDDR6,PCIe 3.0 x16,7869,630
Radeon RX 580 2048SP,8 GB,GDDR5,PCIe 3.0 x16,7633,759
GeForce RTX 3050 6GB,6 GB,GDDR6,PCIe 4.0 x8,10749,1179
GeForce RTX 3050 8GB,8 GB,GDDR6,PCIe 4.0 x8,12536,199
Radeon RX 6500 XT,4 GB,GDDR6,PCIe 4.0 x4,9605,1160
Radeon RX 6600,8 GB,GDDR6,PCIe 4.0 x8,15087,1400
Radeon RX 6600 LE,8 GB,GDDR6,PCIe 4.0 x8,13803,1345
GeForce RTX 3060 12GB,12 GB,GDDR6,PCIe 4.0 x16,16777,1859
Intel Arc B570,10 GB,GDDR6,PCIe 4.0 x8,14108,1800
Intel Arc B580,12 GB,GDDR6,PCIe 4.0 x8,15981,2200
Radeon RX 7600,8 GB,GDDR6,PCIe 4.0 x8,16581,1749
GeForce RTX 4060,8 GB,GDDR6,PCIe 4.0 x8,19548,2680
GeForce RTX 5060,8 GB,GDDR7,PCIe 5.0 x8,20849,2160
GeForce RTX 5060 Ti,8 GB,GDDR7,PCIe 5.0 x8,22589,2700
GeForce RTX 5060 Ti 16GB,16 GB,GDDR7,PCIe 5.0 x8,22778,3300
Radeon RX 7600 XT,16 GB,GDDR6,PCIe 4.0 x8,17250,2300
Radeon RX 9060 XT 8GB,8 GB,GDDR7,PCIe 5.0 x16,19857,2250
Radeon RX 9060 XT 16GB,16 GB,GDDR7,PCIe 5.0 x16,20024,3000
GeForce RTX 4060 Ti,8 GB,GDDR6,PCIe 4.0 x16,22704,2400
GeForce RTX 4060 Ti 16GB,16 GB,GDDR6,PCIe 4.0 x16,22643,2150
Radeon RX 7700 XT,12 GB,GDDR6,PCIe 4.0 x16,22643,2900
Radeon RX 7800 XT,16 GB,GDDR6,PCIe 4.0 x16,24260,2900
GeForce RTX 4070 SUPER,12 GB,GDDR6X,PCIe 4.0 x16,29959,4000
GeForce RTX 4070 Ti SUPER,16 GB,GDDR6X,PCIe 4.0 x16,31831,6000
Radeon RX 7900 XT,20 GB,GDDR6,PCIe 4.0 x16,28995,4600
Radeon RX 7900 XTX,24 GB,GDDR6,PCIe 4.0 x16,31297,5800
Radeon RX 9070 XT,16 GB,GDDR6,PCIe 5.0 x16,26923,5360
GeForce RTX 5050,8 GB,GDDR6,PCIe 5.0 x8,17112,1860
GeForce RTX 5070 Ti,16GB,GDDR7,PCIe 5.0 x16,32542,6600
GeForce RTX 5090,32 GB,GDDR7,PCIe 5.0 x16,38891,19679
GeForce RTX 5080,12 GB,GDDR7,PCIe 5.0 x16,35912,9900
Radeon RX 9070,16 GB,GDDR6,PCIe 5.0 x16,25377,4600
GeForce RTX 5070,12 GB,GDDR7,PCIe 5.0 x16,28857,4100