Placa de Vídeo,VRAM,1080p Ultra,1440p Ultra,Valor,CxB
RX 580 2048SP,8GB,18.2%,13.6%,570.00,5.58
RX 590,8GB,25.5%,19.9%,640.00,7.09
RX 5500 XT,8GB,25.7%,19.3%,970.00,4.64
RX 5700 XT,8GB,47.6%,36.3%,1153.00,7.28
RTX 2070 Super,8GB,50.3%,40.0%,1485.00,6.08
ARC A580,8GB,42.3%,33.4%,1480.00,5.11
RX 6600,8GB,42.3%,30.6%,1300.00,5.61
ARC A750,8GB,45.9%,36.7%,1530.00,5.40
RX 6650 XT,8GB,50.4%,37.3%,1700.00,5.16
RTX 3060 TI,8GB,58.9%,47.9%,2054.00,5.20
RX 6600 XT,8GB,48.5%,35.7%,2100.00,4.01
RX 7600 XT,16GB,59.7%,45.1%,2100.00,4.99
RTX 4060,8GB,55.1%,41.9%,2170.00,4.47
RX 6750 XT,12GB,66.8%,52.9%,2380.00,5.03
ARC A770,16GB,49.9%,41.0%,2600.00,3.50
RTX 3060,12GB,46.9%,36.9%,1970.00,4.25
RX 7600,8GB,53.2%,39.2%,1880.00,4.91